"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2019-03-20 17:22:34","2018-01-05 08:36:27"
"03/20/2019","16:00","270530909","Minneapolis-Lowry Av","PM10","UG/M3",35,"Minnesota Pollution Control Agency",32,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550590019","CHIWAUKEE","OZONE","PPB",34,"Wisconsin DNR",31,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550590025","Kenosha-Water Tower","OZONE","PPB",34,"Wisconsin DNR",31,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790026","MILWAUKEE SER DNR ","OZONE","PPB",34,"Wisconsin DNR",31,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790026","MILWAUKEE SER DNR ","PM10","UG/M3",32,"Wisconsin DNR",30,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550410007","POTAWATOMI ","PM25","UG/M3",7,"Wisconsin DNR",29,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191390019","Muscatine, High Scho","PM25","UG/M3",7,"Iowa DNR",29,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270177417","Fond du Lac","PM25","UG/M3",7,"Minnesota Pollution Control Agency",29,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271377554","West Duluth","PM25","UG/M3",7,"Minnesota Pollution Control Agency",29,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550430009","Potosi","PM25","UG/M3",6.7,"Wisconsin DNR",28,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460650003","Pierre","PM25","UG/M3",6.7,"South Dakota",28,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380530002","TRNP-NU","PM25","UG/M3",6.4,"North Dakota Health",27,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380130004","Lostwood NWR","PM25","UG/M3",6.2,"North Dakota Health",26,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380650002","Hannover","PM25","UG/M3",6.2,"North Dakota Health",26,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","thunder-bay","THUNDER-BAY","OZONE","PPB",28.1,"ONTARIO Department of Health",26,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380150003","Bismarck Residential","PM25","UG/M3",6,"North Dakota Health",25,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380171004","Fargo NW","PM25","UG/M3",6,"North Dakota Health",25,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381050003","Williston","PM25","UG/M3",6,"North Dakota Health",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191471002","Emmetsburg, ILCC","PM25","UG/M3",6,"Iowa DNR",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191770006","Lake Sugema","PM25","UG/M3",6,"Iowa DNR",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270834210","Marshall","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271377001","Virginia","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460290002","Watertown","PM25","UG/M3",6.1,"South Dakota",25,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270317810","Grand Portage","PM25","UG/M3",5,"Minnesota Pollution Control Agency",21,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270370470","Apple Valley","PM25","UG/M3",5,"Minnesota Pollution Control Agency",21,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271230871","St. Paul-Harding H.S","PM25","UG/M3",5,"Minnesota Pollution Control Agency",21,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790056","MILWAUKEE COLLEGE AV","NO2","PPB",21,"Wisconsin DNR",20,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460290002","Watertown","PM10","UG/M3",22,"South Dakota",20,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550270001","Horicon Wildlife Are","PM10","UG/M3",20,"Wisconsin DNR",19,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070203","Brandon","PM25","UG/M3",4.3,"Manitoba Conservation Air Quality Section",18,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191370002","Viking Lake State Pa","PM25","UG/M3",4,"Iowa DNR",17,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530962","Minneapolis-Near Roa","NO2","PPB",18,"Minnesota Pollution Control Agency",17,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271453052","St. Cloud","PM25","UG/M3",4,"Minnesota Pollution Control Agency",17,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271713201","St. Michael","PM25","UG/M3",4,"Minnesota Pollution Control Agency",17,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460110003","Research Farm","PM10","UG/M3",18,"South Dakota",17,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460110003","Research Farm","PM25","UG/M3",4,"South Dakota",17,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","PM10","UG/M3",17,"North Dakota Health",16,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070119","Winnipeg_Ellens","OZONE","PPB",17,"Manitoba Conservation Air Quality Section",16,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","271230868","St. Paul - Downtown","PM10","UG/M3",16,"Minnesota Pollution Control Agency",15,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070119","Winnipeg_Ellens","PM25","UG/M3",3.4,"Manitoba Conservation Air Quality Section",14,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460990008","Sioux Falls","PM10","UG/M3",15,"South Dakota",14,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270531909","Minneapolis - Bottin","PM10","UG/M3",14,"Minnesota Pollution Control Agency",13,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","thunder-bay","THUNDER-BAY","PM25","UG/M3",3.1,"ONTARIO Department of Health",13,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","191530030","CARPENTER","PM25","UG/M3",3,"Polk Co. Air Quality Division",12,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","PM25","UG/M3",3,"Minnesota Pollution Control Agency",12,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270052013","Detroit Lakes","PM25","UG/M3",3,"Minnesota Pollution Control Agency",12,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270072304","Red Lake Nation","PM25","UG/M3",3,"Minnesota Pollution Control Agency",12,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270353204","Brainerd","PM25","UG/M3",3,"Minnesota Pollution Control Agency",12,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380650002","Hannover","PM10","UG/M3",11,"North Dakota Health",10,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","550790026","MILWAUKEE SER DNR ","NO2","PPB",11,"Wisconsin DNR",10,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551110007","Devils Lake","PM10","UG/M3",11,"Wisconsin DNR",10,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380130004","Lostwood NWR","PM10","UG/M3",10,"North Dakota Health",9,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380530002","TRNP-NU","PM10","UG/M3",9,"North Dakota Health",8,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","NO2","PPB",9,"North Dakota Health",8,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381050003","Williston","PM10","UG/M3",9,"North Dakota Health",8,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270530963","Minneapolis-Phillips","PM25","UG/M3",2,"Minnesota Pollution Control Agency",8,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460710001","Badlands","PM10","UG/M3",9,"South Dakota",8,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380650002","Hannover","NO2","PPB",7,"North Dakota Health",7,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","380570004","Beulah North","SO2","PPB",4,"North Dakota Health",6,"2019-03-20 17:22:34",NA
"03/20/2019","14:00","381010003","RYDER","PM10","UG/M3",7,"North Dakota Health",6,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","551010020","Racine-Payne and Dol","OZONE","PPB",7,"Wisconsin DNR",6,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","270031002","Blaine","PM10","UG/M3",7,"Minnesota Pollution Control Agency",6,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460330132","WIND CAVE","PM10","UG/M3",6,"South Dakota",6,"2019-03-20 17:22:34",NA
"03/20/2019","16:00","460930001","Black Hawk","PM10","UG/M3",7,"South Dakota",6,"2019-03-20 17:22:34",NA
"03/20/2019","15:00","000070119","Winnipeg_Ellens","PM10","UG/M3",5,"Manitoba Conservation Air Quality Section",5,"2019-03-20 17:22:34",NA
